Pas;ECinetica;EPotencial;ETotal;Temperatura
151;258.296;-160.815;-134.986;0,403587
152;257.968;-160.789;-134.992;0,403075
153;25.794;-160.787;-134.993;0,403031
154;258.019;-160.808;-135.006;0,403154
155;257.977;-160.805;-135.007;0,403089
156;257.592;-160.768;-135.009;0,402487
157;256.685;-160.678;-135.009;0,401071
158;255.164;-160.526;-135.009;0,398693
159;253.047;-160.308;-135.003;0,395385
160;250.481;-160,05;-135.001;0,391376
161;247.725;-159.766;-134.994;0,38707
162;24,51;-159.497;-134.987;0,382968
163;242.904;-159.276;-134.985;0,379538
164;241.334;-159.119;-134.985;0,377084
165;240.423;-159.023;-134.981;0,375661
166;240.041;-158.986;-134.982;0,375064
167;239.944;-158.968;-134.973;0,374913
168;239.855;-158.966;-134,98;0,374773
169;239.534;-158.935;-134.981;0,374271
170;238.833;-158.859;-134.976;0,373177
171;237.716;-158.747;-134.976;0,371432
172;236.247;-158.594;-134.969;0,369137
173;23.457;-158,43;-134.973;0,366516
174;232.867;-158.259;-134.972;0,363855
175;231.319;-158.103;-134.971;0,361436
176;230.066;-157.988;-134.982;0,359479
177;229.181;-157,9;-134.982;0,358095
178;228.653;-157.848;-134.982;0,357271
179;228.404;-157.829;-134.989;0,356881
180;228.299;-157.814;-134.984;0,356718
181;228.189;-157,81;-134.991;0,356545
182;227.942;-157.786;-134.992;0,35616
183;22.748;-157,74;-134.992;0,355437
184;226.797;-157.671;-134.991;0,35437
185;225.984;-157.572;-134.974;0,3531
186;225.236;-157.495;-134.972;0,351932
187;224.848;-157.449;-134.964;0,351325
188;225.182;-157.485;-134.967;0,351847
189;226.608;-157.631;-134,97;0,354075
190;229.406;-157,91;-134,97;0,358447
191;233.664;-158.342;-134.976;0,365099
192;23.921;-158.889;-134.968;0,373766
193;245.628;-159.534;-134.971;0,383793
194;252.329;-160.202;-134,97;0,394264
195;258.681;-160.825;-134.956;0,404189
196;264.114;-161,37;-134.959;0,412679
197;268.197;-161.769;-134.949;0,419058
198;270.658;-162.021;-134.955;0,422904
199;271.383;-162.088;-134.949;0,424036
200;270.389;-161.987;-134.949;0,422483
201;267.802;-161.733;-134.953;0,41844
202;263.835;-161.334;-134.951;0,412241
203;258.772;-160.831;-134.954;0,404331
204;252.958;-160.253;-134.957;0,395246
205;246.776;-159.632;-134.955;0,385587
206;24.063;-159.016;-134.953;0,375985
207;234.913;-158.436;-134.945;0,367052
208;229.968;-157.935;-134.938;0,359325
209;226.049;-157.548;-134.943;0,353202
210;223.291;-157.272;-134.943;0,348892
211;221.693;-157.102;-134.933;0,346395
212;221.127;-157.048;-134.935;0,345511
213;221.368;-157.057;-134,92;0,345888
214;222.141;-157.131;-134.917;0,347095
215;223.174;-157.236;-134.918;0,348709
216;224.248;-157.355;-134,93;0,350387
217;225.233;-157.465;-134.941;0,351927
218;226.111;-157.557;-134.946;0,353298
219;226.962;-157,63;-134.934;0,354629
220;227.941;-157.721;-134.927;0,356157
221;229.211;-157.864;-134.943;0,358143
222;23.089;-158.037;-134.948;0,360765
223;232.995;-158.243;-134.943;0,364055
224;235.442;-158.488;-134.944;0,367878
225;238.063;-158.741;-134.934;0,371973
226;240.657;-158.996;-134,93;0,376026
227;243.033;-159.234;-134.931;0,37974
228;245.049;-159.436;-134.931;0,382888
229;246.619;-159.587;-134.926;0,385341
230;247.726;-159.692;-134,92;0,387072
231;248.417;-159.755;-134.913;0,388151
232;248.793;-159.792;-134.912;0,38874
233;249.009;-159.806;-134.905;0,389076
234;24.925;-159.824;-134.899;0,389453
235;249.719;-159.864;-134.892;0,390185
236;250.602;-159.951;-134.891;0,391566
237;252.043;-160,1;-134.896;0,393817
238;254.115;-160.313;-134.901;0,397055
239;256.813;-160.588;-134.907;0,40127
240;260.048;-160.913;-134.908;0,406326
241;263.673;-161.293;-134.925;0,411988
242;267.492;-161,67;-134.921;0,417956
243;271.292;-162.052;-134.922;0,423894
244;274.861;-162.404;-134.918;0,42947
245;278.001;-162.725;-134.925;0,434376
246;280.544;-162.969;-134.914;0,43835
247;282.355;-163.151;-134.915;0,44118
248;283.335;-163.254;-134.921;0,442711
249;283.422;-163.258;-134.916;0,442848
250;282.593;-163.175;-134.916;0,441551
251;280.861;-163.018;-134.932;0,438845
252;278.283;-162,76;-134.932;0,434817
253;27.496;-162.443;-134.947;0,429625
254;271.044;-162.051;-134.946;0,423507
255;266.741;-161.614;-134.939;0,416782
256;262.303;-161.163;-134.932;0,409849
257;258.022;-160.738;-134.936;0,40316
258;254.198;-160.371;-134.951;0,397185
259;251.109;-160.077;-134.966;0,392358
260;248.977;-159.863;-134.965;0,389027
261;247.935;-159.759;-134.965;0,387398
262;248.012;-159.761;-134,96;0,387519
263;249.138;-159.875;-134.961;0,389278
264;251.168;-160.085;-134.968;0,39245
265;253.921;-160.367;-134.975;0,396751
266;25.721;-160.691;-134,97;0,401891
267;260.867;-161.057;-134.971;0,407605
268;264.747;-161.441;-134.966;0,413667
269;268.716;-161.827;-134.956;0,419869
270;272.639;-162.231;-134.967;0,425998
271;276.368;-162.605;-134.968;0,431825
272;279.749;-162.944;-134.969;0,437108
273;282.631;-163.238;-134.975;0,441611
274;284.882;-163.458;-134,97;0,445129
275;286.409;-163.611;-134,97;0,447514
